Date,Event,Confirmed,Time,Title,Presenter,Media,Notes
"Wednesday, September 1, 2021",Lecture,1,7:30-8:30,Atomic and Nuclear Structure,Thomas Niedermayr,Person,
,Lecture,1,8:30-9:30,Production of Kilovoltage X-ray Beams,Thomas Niedermayr,Person,
,Lecture,1,9:30-10:30,STATS,Rie,Person,
"Friday, September 3, 2021",Lecture,1,8:00-9:00,Radiation Interactions,Murat Surucu,Person,
"Wednesday, September 8, 2021",Lecture,1,7:30-8:30,Production of Megavoltage Radiation Beams,Cynthia Chuang,Person,
,Lecture,1,8:30-9:30,Radiation Quantities and Units,Lei Wang,Person,
,Lecture,1,9:30-10:30,STATS,Rie,Person,
"Friday, September 10, 2021",Lecture,1,8:00-9:00,Radiation Measurement and Calibration,Lei Wang,Person,
"Wednesday, September 15, 2021",Lecture,1,7:30-8:30,Photon Beam Characteristics and Dosi 1,Lawrie Skinner,Person,
,Lecture,1,8:30-9:30,Photon Beam Characteristics and Dosi 2,Lawrie Skinner,Person,
,Lecture,1,9:30-10:30,STATS,Rie,Person,
"Friday, September 17, 2021",Lecture,1,8:00-9:00,Review,Thomas Niedermayr,Person,
"Wednesday, September 22, 2021",Lecture,1,7:30-8:30,Imaging Fundamentals 1,Lianli Liu,Person,
,Lecture,1,8:30-9:30,Imaging Fundamentals 2,Lianli Liu,Person,
,Lecture,1,9:30-10:30,Financial Wellness: DI and Malpractice Insurance,***,Person,
"Friday, September 24, 2021",Lecture,1,8:00-9:00,Simulation and Treatment Verification,Xuejun Gu,Person,
"Wednesday, September 29, 2021",Lecture,1,7:30-8:30,3D TP,Xuejun Gu,Person,
,Lecture,1,8:30-9:30,Intensity Modulated Radiation Therapy,Cynthia Chuang,Person,
,Lecture,1,9:30-10:30,Financial Wellness: Contracts and Estate Planning,***,Person,
"Friday, October 1, 2021",Study,1,8:00-9:00,Independent prep for Breast,,,
"Wednesday, October 6, 2021",Lecture,1,7:30-8:30,Journal Club: Early Invasive/APBI,KH,Person,
,Lecture,1,8:30-9:30,Case Discussion: Early Invasive/APBI,KH,Person,
,Lecture,1,9:30-10:30,Breast Treatment Planning,JL,Need to confirm,
"Friday, October 8, 2021",Study,1,8:00-9:00,Independent prep for Breast,,,
"Wednesday, October 13, 2021",Lecture,1,7:30-8:30,Med Oncology,Drs. Riaz (metastatic) and Caswell-Jin (non-metastatic),Person,
,Lecture,1,8:30-9:30,Imaging: Breast,Dr. Ikeda,Virtual,
,Lecture,0,9:30-10:30,Journal Club: DCIS,CS,Virtual,
"Friday, October 15, 2021",Lecture,1,8:00-9:00,Surgical Breast Oncology,Dr. Jean Bao,Virtual,
"Wednesday, October 20, 2021",M&M,1,7:30-8:30,M&M,,Virtual,
,Lecture,1,8:30-9:30,Journal Club: Locally Advanced Breast/Inflammatory,CM,Person,
,Lecture,1,9:30-10:30,Case Discussion: Locally Advanced Breast,CM,Person,
"Friday, October 22, 2021",Holiday,,,ASTRO,,,
"Wednesday, October 27, 2021",Holiday,,,ASTRO,,,
